Q3539199	https://en.wikipedia.org/wiki?curid=9136618	Black Triad trilogy	3	3	0.7843652	numterm	The Black Triad [trilogy] -LRB- a.k.a. Black Society Trilogy , Triad Society Trilogy -RRB- is a series of films directed by Takashi Miike involving triads and yakuza .
Q3822522	https://en.wikipedia.org/wiki?curid=5936963	The Genesis of Shannara	3	3	0.47532564	numterm	The first novel in the `` Genesis '' [trilogy] details the quest of two Knights of the Word in protecting two powerful magics in a post-apocalyptic Earth .
Q5755341	https://en.wikipedia.org/wiki?curid=2520466	High Druid of Shannara	3	3	0.8957511	numterm	High Druid of Shannara is a [trilogy] of fantasy novels in the `` Shannara '' series by Terry Brooks .
Q16862645	https://en.wikipedia.org/wiki?curid=4716908	The Sword of Shannara Trilogy	3	3	0.44500536	numterm	Though not originally written as a [trilogy] , the novels were published as `` The Sword of Shannara Trilogy '' by Del Rey Books .
Q5739185	https://en.wikipedia.org/wiki?curid=842487	Heritage of Shannara	4	3	0.7258654	numterm	The Heritage of Shannara is a series of four fantasy novels by Terry Brooks , set hundreds of years after the original `` Shannara '' [trilogy] .
Q7339356	https://en.wikipedia.org/wiki?curid=10431605	Road Movie trilogy	3	3	0.68480355	numterm	The Road Movie [trilogy] is a series of three road movies directed by German film director Wim Wenders in the mid-1970s .
Q3025689	https://en.wikipedia.org/wiki?curid=1065486	The Roman Mysteries	17	3	0.43995366	numterm	In 2008 a sequel [trilogy] for young adults was proposed , with the main characters being Jonathan 's 14-year-old orphaned twin nephews .
Q4295482	https://en.wikipedia.org/wiki?curid=2181603	Dayworld (trilogy)	3	3	0.7851767	numterm	Dayworld is a [trilogy] of science fiction novels by Philip José Farmer , inspired by his own acclaimed short story `` The Sliced-Crosswise Only-On-Tuesday World '' .
Q7883942	https://en.wikipedia.org/wiki?curid=27717268	Underworld Trilogy	3	3	0.80275583	numterm	The Underworld [Trilogy] consists of three miniseries : The Prisoner , The Cop and The Lawyer .
Q19724726	https://en.wikipedia.org/wiki?curid=46283854	Assassin's Creed Chronicles	3	3	0.4887091	numterm	The [trilogy] was developed by Climax Studios with association with Ubisoft Montreal `` China '' was released on April 21 , 2015 , in North America and April 22 , 2015 , in other territories , on Microsoft Windows , PlayStation 4 and Xbox One .
Q7765233	https://en.wikipedia.org/wiki?curid=26830563	The Song of Hiawatha (Coleridge-Taylor)	3	3	0.56802934	numterm	The whole [trilogy] was published as The Song of Hiawatha and had its first complete performance in 1900 , at the Royal Albert Hall .
Q2296879	https://en.wikipedia.org/wiki?curid=170547	Wizardry	8	3	0.7117493	numterm	A second [trilogy] is formed by installments 6 through 8 -- `` Bane of the Cosmic Forge '' , `` Crusaders of the Dark Savant '' and `` Wizardry 8 '' -- with settings and gameplay mechanics that differed greatly from the first trilogy .
Q7742030	https://en.wikipedia.org/wiki?curid=34294282	The Inheritance Trilogy (N.K. Jemisin)	3	3	0.6961692	numterm	The Inheritance Trilogy -LRB- not to be confused with The Inheritance Cycle -RRB- is a fantasy [trilogy] by N. K. Jemisin .
Q7763492	https://en.wikipedia.org/wiki?curid=11674765	The Sevenwaters Trilogy	6	3	0.71742886	numterm	The Sevenwaters [Trilogy] is a historical fantasy series by Juliet Marillier which was first published as a series of three novels between 1999 and 2001 , and then later extended .
Q22679276	https://en.wikipedia.org/wiki?curid=1398926	Sword of Honour	3	3	0.7107836	numterm	The Sword of Honour [trilogy] by Evelyn Waugh consists of three novels , `` Men at Arms '' -LRB- 1952 -RRB- , `` Officers and Gentlemen '' -LRB- 1955 -RRB- and `` Unconditional Surrender '' -LRB- 1961 , published as `` The End of the Battle '' in the US -RRB- , which loosely parallel Waugh 's experiences in the Second World War .
Q268100	https://en.wikipedia.org/wiki?curid=18663181	Mistborn series	7	3	0.8193558	numterm	was set to be a transitional book between the original trilogy and the second [trilogy] .
Q458982	https://en.wikipedia.org/wiki?curid=1092454	Malazan Book of the Fallen	10	3	0.80627316	numterm	The Path to Ascendancy is a prequel [trilogy] set in the world of Malazan , written by Ian Cameron Esslemont .
Q12397	https://en.wikipedia.org/wiki?curid=176480	Metroid	12	3	0.37348998	numterm	After it became a top seller on the GameCube , a [trilogy] was authorized .
Q2740077	https://en.wikipedia.org/wiki?curid=4389340	Helliconia	3	3	0.73680943	numterm	The Helliconia [trilogy] is a series of science fiction books by British writer Brian W. Aldiss , set on the Earth-like planet Helliconia .
Q91558	https://en.wikipedia.org/wiki?curid=1359577	Back to the Future (franchise)	3	3	0.66493833	numterm	The [trilogy] was nominated for five Academy Awards all together , winning one -LRB- Best Sound Editing -RRB- .
Q4470	https://en.wikipedia.org/wiki?curid=42571	The Wheel of Time	15	3	0.75310165	numterm	Jordan had left very little in the way of notes for these additional novels -- only two sentences in the case of the sequel [trilogy] .
Q190214	https://en.wikipedia.org/wiki?curid=414113	The Lord of the Rings (film series)	3	3	0.6256355	numterm	Warner Bros. released the [trilogy] 's theatrical versions on Blu-ray Disc in a boxed set on 6 April 2010 .
Q216930	https://en.wikipedia.org/wiki?curid=7629286	Harry Potter (film series)	8	3	0.29237482	numterm	This has been partially attributed to the `` Harry Potter '' franchise going through several directors with their own styles , something that the Academy reportedly does not favour , in contrast to the `` Lord of the Rings '' [trilogy] , which was filmed in one massive undertaking by the same director , writer , and producer .
Q326180	https://en.wikipedia.org/wiki?curid=8608590	Skins (UK TV series)	7	7	0.1028455	ordinal	The [seventh] series , titled ` Skins Redux ' , aired on 1 July 2013 .
Q45875	https://en.wikipedia.org/wiki?curid=12301	A Song of Ice and Fire	6	3	0.7258806	numterm	The sixth book will be called `` The Winds of Winter '' , taking the title of the last book of the originally planned [trilogy] .
