Evaluate CRF++ output file... tp	6	Q202735	73	3	six	_num_	CD	NUMBER	time	_YES_	O/0.794292	O/0.794292	_COMP_/0.000007	_YES_/0.205701
tp	4	Q2545982	3	4	four	_num_	CD	NUMBER	time	_YES_	O/0.760586	O/0.760586	_COMP_/0.000024	_YES_/0.239391
fn	2	Q62080	7	1	second	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.937240	O/0.937240	_COMP_/0.000004	_YES_/0.062756
fp	1	Q565522	7	6	an	_num_	DT	O	leader	O	O/0.874741	O/0.874741	_COMP_/0.000008	_YES_/0.125251
fp	1	Q6235746	7	1	second	_ord_	JJ	ORDINAL	son	O	O/0.886889	O/0.886889	_COMP_/0.000004	_YES_/0.113106
fp	1	Q6235746	8	1	third	_ord_	JJ	ORDINAL	son	O	O/0.882597	O/0.882597	_COMP_/0.000003	_YES_/0.117400
tp	3	Q3097958	4	1	first	_ord_	JJ	ORDINAL	husband	_YES_	O/0.786617	O/0.786617	_COMP_/0.000006	_YES_/0.213376
tp	3	Q3097958	8	1	second	_ord_	JJ	ORDINAL	husband	_YES_	O/0.875818	O/0.875818	_COMP_/0.000005	_YES_/0.124177
fp	3	Q3097958	8	22	third	_ord_	JJ	ORDINAL	wife	O	O/0.893151	O/0.893151	_COMP_/0.000015	_YES_/0.106834
tp	3	Q3097958	10	1	third	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.784667	O/0.784667	_COMP_/0.000006	_YES_/0.215328
fp	2	Q262559	5	5	two	_num_	CD	NUMBER	king	O	O/0.894504	O/0.894504	_COMP_/0.000007	_YES_/0.105489
tp	2	Q468806	14	3	2	_num_	CD	NUMBER	time	_YES_	O/0.760558	O/0.760558	_COMP_/0.000024	_YES_/0.239419
fp	2	Q468806	15	1	a	_num_	DT	O	divorcee	O	O/0.876484	O/0.876484	_COMP_/0.000005	_YES_/0.123511
tp	2	Q6837195	6	16	second	_ord_	JJ	ORDINAL	husband	_YES_	O/0.837311	O/0.837311	_COMP_/0.000022	_YES_/0.162668
fn	2	Q6837195	7	24	first	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.900546	O/0.900546	_COMP_/0.000007	_YES_/0.099447
tp	2	Q7914625	4	13	first	_ord_	JJ	ORDINAL	husband	_YES_	O/0.824782	O/0.824782	_COMP_/0.000009	_YES_/0.175209
tp	3	Q86396	16	1	second	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.726414	O/0.726414	_COMP_/0.000007	_YES_/0.273579
tp	3	Q86396	17	1	third	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.794329	O/0.794329	_COMP_/0.000007	_YES_/0.205664
tp	2	Q957754	10	2	2	_num_	CD	NUMBER	time	_YES_	O/0.693665	O/0.693665	_COMP_/0.000006	_YES_/0.306329
tp	2	Q957754	14	1	second	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.844796	O/0.844796	_COMP_/0.000005	_YES_/0.155199
fn	3	Q2907690	16	10	third	_ord_	JJ	ORDINAL	time	_YES_	O/0.990999	O/0.990999	_COMP_/0.000001	_YES_/0.009000
tp	2	Q3507232	6	13	second	_ord_	JJ	ORDINAL	husband	_YES_	O/0.790055	O/0.790055	_COMP_/0.000012	_YES_/0.209933
tp	2	Q2082875	2	2	first	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.775311	O/0.775311	_COMP_/0.000013	_YES_/0.224676
tp	2	Q2082875	3	2	second	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.775311	O/0.775311	_COMP_/0.000013	_YES_/0.224676
tp	2	Q75163	9	9	first	_ord_	JJ	ORDINAL	husband	_YES_	O/0.850562	O/0.850562	_COMP_/0.000008	_YES_/0.149431
fp	2	Q167250	33	8	a	_num_	DT	O	marriage	O	O/0.835665	O/0.835665	_COMP_/0.000008	_YES_/0.164327
fp	1	Q5374572	5	54	a	_num_	DT	O	daughter	O	O/0.892130	O/0.892130	_COMP_/0.000007	_YES_/0.107864
tp	1	Q5092690	3	2	first	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.744450	O/0.744450	_COMP_/0.000014	_YES_/0.255536
tp	2	Q5701823	13	19	first	_ord_	JJ	ORDINAL	husband	_YES_	O/0.894746	O/0.894746	_COMP_/0.000018	_YES_/0.105236
tp	2	Q5701823	24	6	first	_ord_	JJ	ORDINAL	husband	_YES_	O/0.843022	O/0.843022	_COMP_/0.000008	_YES_/0.156970
fp	1	Q4432984	14	9	second	_ord_	JJ	ORDINAL	son	O	O/0.894960	O/0.894960	_COMP_/0.000004	_YES_/0.105036
tp	3	Q245407	51	3	third	_ord_	JJ	ORDINAL	wife	_YES_	O/0.884298	O/0.884298	_COMP_/0.000006	_YES_/0.115696
fp	1	Q5760399	1	12	LatinGreek_duo_2	_o_	NN	O	O	O	_YES_/0.631976	O/0.368003	_COMP_/0.000021	_YES_/0.631976
tp	3	Q247209	32	3	three	_num_	CD	NUMBER	time	_YES_	O/0.683506	O/0.683506	_COMP_/0.000030	_YES_/0.316464
tp	5	Q461370	15	7	first	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.792979	O/0.792979	_COMP_/0.000012	_YES_/0.207009
tp	5	Q461370	23	3	five	_num_	CD	NUMBER	time	_YES_	O/0.760576	O/0.760576	_COMP_/0.000024	_YES_/0.239400
tp	5	Q461370	26	3	second	_ord_	JJ	ORDINAL	husband	_YES_	O/0.824757	O/0.824757	_COMP_/0.000009	_YES_/0.175234
tp	5	Q461370	28	1	third	_ord_	JJ	ORDINAL	husband	_YES_	O/0.786617	O/0.786617	_COMP_/0.000006	_YES_/0.213376
tp	5	Q461370	32	3	fourth	_ord_	JJ	ORDINAL	husband	_YES_	O/0.824770	O/0.824770	_COMP_/0.000009	_YES_/0.175222
tp	5	Q461370	34	4	fifth	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.708550	O/0.708550	_COMP_/0.000007	_YES_/0.291444
fp	2	Q230662	23	12	an	_num_	DT	O	film	O	O/0.812177	O/0.812177	_COMP_/0.000015	_YES_/0.187808
fp	1	Q7383270	31	12	LatinGreek_twins_2	_plet_	NNP	O	O	O	O/0.825838	O/0.825838	_COMP_/0.000008	_YES_/0.174154
fn	2	Q123098	48	5	first	_ord_	JJ	ORDINAL	husband	_YES_	O/0.925928	O/0.925928	_COMP_/0.000010	_YES_/0.074062
tp	2	Q57161	61	12	first	_ord_	JJ	ORDINAL	marriage	_YES_	O/0.785842	O/0.785842	_COMP_/0.000006	_YES_/0.214152
tp	2	Q57161	75	6	first	_ord_	JJ	ORDINAL	wife	_YES_	O/0.884313	O/0.884313	_COMP_/0.000006	_YES_/0.115681
tp	2	Q57161	77	5	second	_ord_	JJ	ORDINAL	wife	_YES_	O/0.884284	O/0.884284	_COMP_/0.000006	_YES_/0.115710
fp	1	Q8015	3	26	two	_num_	CD	NUMBER	member	O	O/0.867851	O/0.867851	_COMP_/0.000019	_YES_/0.132130
fp	3	Q448525	10	6	a	_num_	DT	O	star	O	O/0.895622	O/0.895622	_COMP_/0.000008	_YES_/0.104370
fn	3	Q448525	68	14	third	_ord_	JJ	ORDINAL	time	_YES_	O/0.990468	O/0.990468	_COMP_/0.000001	_YES_/0.009531
fp	2	Q615887	91	8	an	_num_	DT	O	operation	O	O/0.788139	O/0.788139	_COMP_/0.000009	_YES_/0.211852
tp	3	Q1769	91	3	three	_num_	CD	NUMBER	time	_YES_	O/0.760576	O/0.760576	_COMP_/0.000024	_YES_/0.239400
fn	3	Q1769	96	2	second	_ord_	JJ	ORDINAL	wife	_YES_	O/0.931105	O/0.931105	_COMP_/0.000004	_YES_/0.068891
fn	3	Q1769	98	5	third	_ord_	JJ	ORDINAL	wife	_YES_	O/0.931088	O/0.931088	_COMP_/0.000004	_YES_/0.068907
fp	2	Q12860	9	39	second	_ord_	JJ	ORDINAL	wife	O	O/0.897139	O/0.897139	_COMP_/0.000005	_YES_/0.102856
fn	2	Q12860	78	2	second	_ord_	JJ	ORDINAL	wife	_YES_	O/0.902388	O/0.902388	_COMP_/0.000005	_YES_/0.097607
fp	4	Q92759	32	15	an	_num_	DT	O	investment	O	O/0.899250	O/0.899250	_COMP_/0.000077	_YES_/0.100673
fn	4	Q92759	86	6	four	_num_	CD	NUMBER	time	_YES_	O/0.906544	O/0.906544	_COMP_/0.000006	_YES_/0.093450
tp	2	Q435278	128	4	2	_num_	CD	NUMBER	time	_YES_	O/0.683541	O/0.683541	_COMP_/0.000030	_YES_/0.316430
tp	4	Q191966	7	1	third	_ord_	JJ	ORDINAL	wife	_YES_	O/0.856818	O/0.856818	_COMP_/0.000005	_YES_/0.143177
fn	4	Q191966	121	3	first	_ord_	JJ	ORDINAL	wife	_YES_	O/0.946735	O/0.946735	_COMP_/0.000005	_YES_/0.053260
tp	3	Q151164	17	3	first	_ord_	JJ	ORDINAL	wife	_YES_	O/0.826284	O/0.826284	_COMP_/0.000009	_YES_/0.173708
fn	3	Q151164	31	5	first	_ord_	JJ	ORDINAL	wife	_YES_	O/0.962934	O/0.962934	_COMP_/0.000006	_YES_/0.037060
tp	3	Q319871	117	3	three	_num_	CD	NUMBER	time	_YES_	O/0.760576	O/0.760576	_COMP_/0.000024	_YES_/0.239400
fp	1	Q79025	195	2	a	_num_	DT	O	series	O	O/0.868601	O/0.868601	_COMP_/0.000006	_YES_/0.131393
fp	1	Q177903	41	22	a	_num_	DT	O	monastery	O	O/0.715859	O/0.715859	_COMP_/0.000016	_YES_/0.284125
fp	1	Q177903	93	12	an	_num_	DT	O	symbol	O	O/0.771734	O/0.771734	_COMP_/0.000020	_YES_/0.228246
fp	1	Q177903	178	3	a	_num_	DT	O	alliance	O	O/0.872607	O/0.872607	_COMP_/0.000008	_YES_/0.127384
fn	1	Q93343	3	29	second	_ord_	JJ	ORDINAL	wife	_YES_	O/0.976896	O/0.976896	_COMP_/0.000003	_YES_/0.023100
fn	1	Q93343	65	2	first	_ord_	JJ	ORDINAL	wife	_YES_	O/0.948854	O/0.948854	_COMP_/0.000003	_YES_/0.051142
fn	2	Q35064	255	3	second	_ord_	JJ	ORDINAL	husband	_YES_	O/0.916272	O/0.916272	_COMP_/0.000007	_YES_/0.083721
fp	2	Q5577	37	8	a	_num_	DT	O	book	O	O/0.875311	O/0.875311	_COMP_/0.000007	_YES_/0.124681
fp	1	Q215447	168	2	two	_num_	CD	NUMBER	rematch	O	O/0.899006	O/0.899006	_COMP_/0.000009	_YES_/0.100984
fp	1	Q129006	241	6	a	_num_	DT	O	scheme	O	O/0.877900	O/0.877900	_COMP_/0.000014	_YES_/0.122086
fp	1	Q129006	354	1	an	_num_	DT	O	gesture	O	O/0.822500	O/0.822500	_COMP_/0.000007	_YES_/0.177494
