# 0.997425
Q1757191	2	0	It	_prp_	PRP	O	c.	O	O/0.999629	O/0.999629	_COMP_/0.000081	_YES_/0.000291
Q1757191	2	1	has	have	VBZ	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000000	_YES_/0.000001
Q1757191	2	2	c.	c.	VBN	O	O	O	O/0.999933	O/0.999933	_COMP_/0.000022	_YES_/0.000045
Q1757191	2	3	3,500	_num_	CD	NUMBER	inhabitant	O	O/0.998045	O/0.998045	_COMP_/0.000037	_YES_/0.001919
Q1757191	2	4	inhabitants	inhabitant	NNS	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000001	_YES_/0.000006
Q1757191	2	5	.	.	.	O	O	O	O/0.999803	O/0.999803	_COMP_/0.000186	_YES_/0.000011

# 0.996344
Q1757191	4	0	Later	later	RB	O	O	O	O/0.999975	O/0.999975	_COMP_/0.000009	_YES_/0.000015
Q1757191	4	1	,	,	,	O	O	O	O/0.999987	O/0.999987	_COMP_/0.000007	_YES_/0.000005
Q1757191	4	2	about	about	IN	O	O	O	O/0.999970	O/0.999970	_COMP_/0.000016	_YES_/0.000014
Q1757191	4	3	30	_num_	CD	NUMBER	family	O	O/0.996495	O/0.996495	_COMP_/0.000040	_YES_/0.003466
Q1757191	4	4	families	family	NNS	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000004
Q1757191	4	5	from	from	IN	O	O	O	O/0.999983	O/0.999983	_COMP_/0.000013	_YES_/0.000004
Q1757191	4	7	Upper_Franconia	_propernoun_	NNP	LOCATION	O	O	O/0.999985	O/0.999985	_COMP_/0.000010	_YES_/0.000005
Q1757191	4	8	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q1757191	4	9	Germany	_propernoun_	NNP	LOCATION	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q1757191	4	10	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999999	O/0.999999	_COMP_/0.000001	_YES_/0.000001
Q1757191	4	11	colonized	colonize	VBD	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000003
Q1757191	4	12	the	the	DT	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000002
Q1757191	4	13	place	place	NN	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000003	_YES_/0.000008
Q1757191	4	14	.	.	.	O	O	O	O/0.999958	O/0.999958	_COMP_/0.000031	_YES_/0.000011

# 0.971216
